30141;Aberdeen;SD
30136;Abilene;TX
30165;Adak Island;AK
30732;Aguadilla;PR
30266;Alamogordo;NM
30272;Alamosa;CO
30146;Albany;GA
30257;Albany;NY
30140;Albuquerque;NM
30185;Alexandria;LA
30135;Allentown-Bethlehem-Easton;PA
30221;Alliance;NE
30333;Alpena;MI
30322;Altoona;PA
30279;Amarillo;TX
30299;Anchorage;AK
30408;Appleton;WI
30431;Asheville;NC
32223;Ashland;WV
30372;Aspen;CO
30216;Athens;GA
30397;Atlanta;GA (Metropolitan Area)
30158;Atlantic City;NJ
30208;Augusta;GA
30414;Augusta-Waterville;ME
30423;Austin;TX
30561;Bakersfield;CA
30581;Bangor;ME
30589;Bar Harbor;ME
30107;Barrow;AK
30781;Baton Rouge;LA
30728;Beaumont-Port Arthur;TX
30654;Beckley;WV
30666;Bellingham;WA
30631;Bemidji;MN
34489;Bend-Redmond;OR
30113;Bethel;AK
30620;Billings;MT
30577;Binghamton;NY
30599;Birmingham;AL
30627;Bismarck-Mandan;ND
30685;Bloomington-Normal;IL
30713;Boise;ID
30721;Boston;MA (Metropolitan Area)
30849;Bozeman;MT
30557;Bradford;PA
30739;Brainerd;MN
30643;Branson;MO
35323;Bristol-Johnson City-Kingsport;TN
30747;Brownsville;TX
30731;Brunswick;GA
30792;Buffalo;NY
30590;Bullhead City;AZ
30785;Burlington;VT
30779;Butte;MT
30967;Cape Girardeau;MO
31041;Carlsbad;CA
31085;Carlsbad;NM
31122;Casper;WY
30918;Cedar City;UT
31003;Cedar Rapids-Iowa City;IA
30925;Chadron;NE
31067;Champaign-Urbana;IL
30994;Charleston;SC
31146;Charleston-Dunbar;WV
34945;Charlotte Amalie;VI
31057;Charlotte;NC
30990;Charlottesville;VA
30980;Chattanooga;TN
31233;Cheyenne;WY
30977;Chicago;IL
31002;Chico;CA
34992;Christiansted;VI
33105;Cincinnati;OH
31027;Clarksburg-Fairmont;WV
30647;Cleveland;OH (Metropolitan Area)
31197;Clovis;NM
31097;Cody;WY
31049;College Station-Bryan;TX
30189;Colorado Springs;CO
30868;Columbia;SC
31150;Columbus;GA
30894;Columbus;MS
31066;Columbus;OH
30913;Cordova;AK
31140;Corpus Christi;TX
30950;Cortez;CO
30930;Crescent City;CA
30194;Dallas-Fort Worth;TX
31267;Dayton;OH
31252;Daytona Beach;FL
30073;Deadhorse;AK
31335;Del Rio;TX
30325;Denver;CO
31423;Des Moines;IA
31295;Detroit;MI
31447;Devils Lake;ND
31315;Dickinson;ND
31336;Dillingham;AK
31283;Dodge City;KS
31308;Dothan;AL
31441;DuBois;PA
31274;Dubuque;IA
31337;Duluth;MN
30285;Durango;CO
31503;Eagle;CO
31471;Eau Claire;WI
32363;El Centro;CA
30615;El Paso;TX
31525;Elko;NV
31537;Elmira-Corning;NY
31547;Ely;NV
31577;Erie;PA
31587;Escanaba;MI
31603;Eugene;OR
30157;Eureka-Arcata;CA
31612;Evansville;IN
31517;Fairbanks;AK
31637;Fargo;ND
31711;Farmington;NM
31834;Fayetteville;AR
31641;Fayetteville;NC
31695;Flagstaff;AZ
31721;Flint;MI
31699;Florence;SC
31719;Fort Collins-Loveland;CO
31725;Fort Dodge;IA
35138;Fort Leonard Wood;MO
31714;Fort Myers;FL
31778;Fort Smith;AR
31823;Fort Wayne;IN
31684;Franklin-Oil City;PA
31638;Fresno;CA
31953;Gainesville;FL
31867;Garden City;KS
31865;Gillette;WY
31908;Glasgow;MT
31879;Glendive;MT
31898;Grand Forks;ND
31980;Grand Island;NE
31921;Grand Junction;CO
31986;Grand Rapids;MI
31856;Great Bend;KS
31895;Great Falls;MT
31977;Green Bay;WI
31995;Greensboro-High Point;NC
31931;Greenville;MS
34092;Greenville;NC
31871;Greenville-Spartanburg;SC
32016;Guam;TT
31973;Gulfport-Biloxi;MS
32012;Gunnison;CO
32119;Hagerstown;MD
31076;Hancock-Houghton;MI
32206;Harlingen-San Benito;TX
32070;Harrisburg;PA
30529;Hartford;CT
34109;Hattiesburg-Laurel;MS
32245;Havre;MT
32255;Hays;KS
32156;Helena;MT
32129;Hibbing;MN
32402;Hilo;HI
32124;Hilton Head;SC
32177;Hobbs;NM
30009;Homer;AK
32134;Honolulu;HI
33347;Hoolehua;HI
31453;Houston;TX
30255;Huntsville;AL
32185;Huron;SD
32250;Hyannis;MA
32280;Idaho Falls;ID
32337;Indianapolis;IN
32343;International Falls;MN
32436;Inyokern;CA
32335;Iron Mountain-Kingsfd;MI
32412;Ironwood;MI
32397;Ithaca-Cortland;NY
32441;Jackson;WY
32448;Jackson-Vicksburg;MS
31136;Jacksonville;FL
33795;Jacksonville-Camp Lejeune;NC
32519;Jamestown;ND
32494;Jamestown;NY
32474;Jefferson City-Columbia;MO
32559;Johnstown;PA
32511;Joplin;MO
32523;Juneau;AK
33830;Kahului;HI
30469;Kalamazoo;MI
31648;Kalispell;MT
33198;Kansas City;MO
31468;Kearney;NE
31555;Kenai;AK
31401;Ketchikan;AK
31624;Key West;FL
31982;Killeen;TX
30245;King Salmon;AK
32297;Kingman;AZ
32375;Kirksville;MO
33024;Klamath Falls;OR
35412;Knoxville;TN
30070;Kodiak;AK
32758;Kona;HI
33970;Kotzebue;AK
33076;La Crosse;WI
32951;Lafayette;LA
32492;Lahaina;HI
31205;Lake Charles;LA
33034;Lanai;HI
33032;Lancaster;PA
32884;Lansing;MI
32888;Laramie;WY
33038;Laredo;TX
32211;Las Vegas;NV
32898;Latrobe;PA
32891;Lawton-Fort Sill;OK
32932;Lebanon-Hanover;NH
33121;Lewisburg;WV
33127;Lewiston;ID
32945;Lexington;KY
32902;Liberal;KS
32982;Lihue;HI
33029;Lincoln;NE
32600;Little Rock;AR
31905;Longview;TX
32575;Los Angeles;CA (Metropolitan Area)
33044;Louisville;KY
32896;Lubbock;TX
33139;Lynchburg;VA
33155;Macon;GA
33485;Madison;WI
33388;Mammoth Lakes;CA
33290;Manhattan-Ft. Riley;KS
33182;Manistee-Ludington;MI
33543;Marion-Herrin;IL
33459;Marquette;MI
33541;Martha's Vineyard;MA
33211;Mason City;IA
33490;Massena;NY
33176;Mayaguez;PR
33200;McCook;NE
33264;Medford;OR
33360;Melbourne;FL
33244;Memphis;TN
33194;Merced;CA
33241;Meridian;MS
32467;Miami;FL (Metropolitan Area)
33158;Midland-Odessa;TX
33375;Miles City;MT
33342;Milwaukee;WI
31650;Minneapolis-St. Paul;MN
33304;Minot;ND
33256;Mission-McAllen-Edinburg;TX
33486;Missoula;MT
31092;Moab;UT
30562;Mobile;AL
33424;Modesto;CA
33377;Monroe;LA
33277;Montgomery;AL
33502;Montrose-Delta;CO
33282;Morgantown;WV
33484;Muscle Shoals;AL
33344;Muskegon;MI
31135;Myrtle Beach;SC
30154;Nantucket;MA
30693;Nashville;TN
31617;New Bern-Morehead-Beaufort;NC
32244;New Haven;CT
33495;New Orleans;LA
31703;New York City;NY (Metropolitan Area)
32265;Niagara Falls;NY
33873;Nome;AK
33667;Norfolk;VA (Metropolitan Area)
33964;North Bend-Coos Bay;OR
32899;North Platte;NE
33832;Ogdensburg;NY
33851;Oklahoma City;OK
33316;Omaha;NE
31454;Orlando;FL
33983;Owensboro;KY
34006;Paducah;KY
34081;Page;AZ
34222;Pago Pago;TT
34262;Palm Springs;CA
31481;Panama City;FL
34131;Parkersburg;WV
34252;Pasco-Kennewick-Richland;WA
34236;Paso Robles-San Luis Obispo;CA
34150;Pellston;MI
33728;Pensacola;FL
34108;Peoria;IL
34256;Petersburg;AK
34100;Philadelphia;PA
34711;Philipsburg-State College;PA
30466;Phoenix;AZ
34120;Pierre;SD
30198;Pittsburgh;PA
34025;Plattsburgh;NY
34113;Pocatello;ID
34254;Ponce;PR
34273;Port Heiden;AK
34321;Portland;ME
34057;Portland;OR
34237;Prescott;AZ
34231;Presque Isle-Houlton;ME
34306;Provincetown;MA
34314;Provo;UT
34288;Pueblo;CO
34303;Pullman;WA
34082;Punta Gorda;FL
33367;Quad Cities;IL (Metropolitan Area)
35454;Quincy;IL
34492;Raleigh-Durham;NC
34457;Rapid City;SD
33792;Redding;CA
34570;Reno;NV
34520;Rhinelander;WI
34524;Richmond;VA
34534;Riverton-Lander;WY
34574;Roanoke;VA
32547;Rochester;MN
34576;Rochester;NY
34543;Rock Springs;WY
34512;Rockford;IL
34539;Rockland;ME
34588;Roswell;NM
34648;Rutland;VT
33192;Sacramento;CA
33184;Saginaw-Bay City-Midland;MI
34955;Saipan;TT
34922;Salinas-Monterey;CA
34704;Salisbury;MD
34614;Salt Lake City;UT
34842;San Angelo;TX
33214;San Antonio;TX
33570;San Diego;CA
32457;San Francisco;CA (Metropolitan Area)
34819;San Juan;PR
34738;Sandpoint;AK
34761;Sanford;FL
34689;Santa Barbara;CA
34674;Santa Fe;NM
34905;Santa Maria;CA
34433;Santa Rosa;CA
34875;Saranac Lake-Lake Placid;NY
34986;Sarasota-Bradenton;FL
31013;Sault Ste. Marie;MI
34685;Savannah;GA
30558;Scottsbluff;NE
30434;Scranton-Wilkes-Barre;PA
30559;Seattle;WA
34812;Sheridan;WY
34943;Show Low;AZ
30476;Shreveport;LA
34745;Sidney;MT
35051;Silver City-Hurley;NM
35048;Sioux City;IA
31775;Sioux Falls;SD
34828;Sitka;AK
34696;South Bend;IN
31884;Spokane;WA
34952;Springfield;IL
34783;Springfield;MO
34794;St. George;UT
31123;St. Louis;MO
34919;St. Paul Island;AK
34802;Staunton;VA
34699;Steamboat Springs;CO
34716;Stockton;CA
35041;Sun Valley-Hailey-Ketchum;ID
35096;Syracuse;NY
35249;Tallahassee;FL
33195;Tampa;FL (Metropolitan Area)
35177;Telluride;CO
35401;Texarkana;AR
35381;Thief River Falls;MN
35165;Toledo;OH
35380;Traverse City;MI
30436;Tucson;AZ
34653;Tulsa;OK
35374;Tupelo;MS
35389;Twin Falls;ID
35411;Tyler;TX
31445;Unalaska;AK
35579;Valdez;AK
35550;Valdosta;GA
31504;Valparaiso;FL
35582;Vernal;UT
35569;Victoria;TX
35626;Vieques;PR
35601;Visalia;CA
30155;Waco;TX
30275;Walla Walla;WA
30852;Washington;DC (Metropolitan Area)
30268;Waterloo;IA
30361;Watertown;NY
30409;Watertown;SD
30424;Wausau-Mosinee-Stevens Point;WI
31470;Wenatchee;WA
34027;West Palm Beach-Palm Beach;FL
34960;Wichita Falls;TX
30928;Wichita;KS
32365;Williamsport;PA
32389;Williston;ND
32323;Wilmington;NC
33862;Wolf Point;MT
35843;Worland;WY
35841;Wrangell;AK
36101;Yakima;WA
35991;Yakutat;AK
36133;Youngstown-Warren;OH
33785;Yuma;AZ
