31684.0,"Franklin/Oil City, PA"
31233.0,"Cheyenne, WY"
30216.0,"Athens, GA"
33127.0,"Lewiston, ID"
31401.0,"Ketchikan, AK"
31921.0,"Grand Junction, CO"
34704.0,"Salisbury, MD"
34256.0,"Petersburg, AK"
32223.0,"Ashland, WV"
33029.0,"Lincoln, NE"
34716.0,"Stockton, CA"
31537.0,"Elmira/Corning, NY"
34689.0,"Santa Barbara, CA"
30285.0,"Durango, CO"
32511.0,"Joplin, MO"
32519.0,"Jamestown, ND"
30279.0,"Amarillo, TX"
31337.0,"Duluth, MN"
30849.0,"Bozeman, MT"
32297.0,"Kingman, AZ"
34108.0,"Peoria, IL"
34738.0,"Sandpoint, AK"
34960.0,"Wichita Falls, TX"
34828.0,"Sitka, AK"
35841.0,"Wrangell, AK"
35051.0,"Silver City/Hurley, NM"
30141.0,"Aberdeen, SD"
31013.0,"Sault Ste. Marie, MI"
30476.0,"Shreveport, LA"
30255.0,"Huntsville, AL"
33044.0,"Louisville, KY"
33484.0,"Muscle Shoals, AL"
33105.0,"Cincinnati, OH"
33377.0,"Monroe, LA"
32177.0,"Hobbs, NM"
30739.0,"Brainerd, MN"
30928.0,"Wichita, KS"
32397.0,"Ithaca/Cortland, NY"
34905.0,"Santa Maria, CA"
34222.0,"Pago Pago, TT"
33038.0,"Laredo, TX"
30980.0,"Chattanooga, TN"
32448.0,"Jackson/Vicksburg, MS"
34819.0,"San Juan, PR"
34512.0,"Rockford, IL"
31980.0,"Grand Island, NE"
31699.0,"Florence, SC"
31823.0,"Fort Wayne, IN"
34273.0,"Port Heiden, AK"
33424.0,"Modesto, CA"
30620.0,"Billings, MT"
34745.0,"Sidney, MT"
31146.0,"Charleston/Dunbar, WV"
30146.0,"Albany, GA"
33495.0,"New Orleans, LA"
32016.0,"Guam, TT"
31879.0,"Glendive, MT"
30631.0,"Bemidji, MN"
32474.0,"Jefferson City/Columbia, MO"
30198.0,"Pittsburgh, PA"
31525.0,"Elko, NV"
35323.0,"Bristol/Johnson City/Kingsport, TN"
31441.0,"DuBois, PA"
30299.0,"Anchorage, AK"
30322.0,"Altoona, PA"
32365.0,"Williamsport, PA"
30615.0,"El Paso, TX"
34685.0,"Savannah, GA"
33195.0,"Tampa, FL (Metropolitan Area)"
30994.0,"Charleston, SC"
31027.0,"Clarksburg/Fairmont, WV"
30157.0,"Eureka/Arcata, CA"
33851.0,"Oklahoma City, OK"
32902.0,"Liberal, KS"
32337.0,"Indianapolis, IN"
33076.0,"La Crosse, WI"
31721.0,"Flint, MI"
35249.0,"Tallahassee, FL"
31637.0,"Fargo, ND"
32412.0,"Ironwood, MI"
31547.0,"Ely, NV"
35843.0,"Worland, WY"
31953.0,"Gainesville, FL"
33360.0,"Melbourne, FL"
34057.0,"Portland, OR"
33244.0,"Memphis, TN"
32547.0,"Rochester, MN"
31041.0,"Carlsbad, CA"
32156.0,"Helena, MT"
33155.0,"Macon, GA"
34992.0,"Christiansted, VI"
32898.0,"Latrobe, PA"
31003.0,"Cedar Rapids/Iowa City, IA"
34614.0,"Salt Lake City, UT"
33139.0,"Lynchburg, VA"
34919.0,"St. Paul Island, AK"
30257.0,"Albany, NY"
34082.0,"Punta Gorda, FL"
31517.0,"Fairbanks, AK"
31085.0,"Carlsbad, NM"
32265.0,"Niagara Falls, NY"
30852.0,"Washington, DC (Metropolitan Area)"
30781.0,"Baton Rouge, LA"
30562.0,"Mobile, AL"
34955.0,"Saipan, TT"
35601.0,"Visalia, CA"
31577.0,"Erie, PA"
30967.0,"Cape Girardeau, MO"
32343.0,"International Falls, MN"
34252.0,"Pasco/Kennewick/Richland, WA"
30414.0,"Augusta/Waterville, ME"
30713.0,"Boise, ID"
32070.0,"Harrisburg, PA"
31995.0,"Greensboro/High Point, NC"
32134.0,"Honolulu, HI"
31834.0,"Fayetteville, AR"
30423.0,"Austin, TX"
34237.0,"Prescott, AZ"
34812.0,"Sheridan, WY"
30685.0,"Bloomington/Normal, IL"
31714.0,"Fort Myers, FL"
30779.0,"Butte, MT"
31336.0,"Dillingham, AK"
